,City,Lat,Lon,Max Temp (F),Humidity,Cloudiness,Wind Speed (mph),Country,Date
358,Bagé,-31.3314,-54.1069,60.84,97,100,7.81,BR,1659583173
359,Būrewāla,30.1667,72.65,90.45,59,57,0.38,PK,1659583377
360,Xai-Xai,-25.0519,33.6442,58.5,86,0,7.27,MZ,1659583378
361,Port Macquarie,-31.4333,152.9167,69.89,63,87,13.06,AU,1659583378
362,Kedrovyy,56.1667,91.8167,57.87,76,97,7.25,RU,1659583379
363,Cuamba,-14.8031,36.5372,59.31,90,6,1.12,MZ,1659583379
364,Hohhot,40.8106,111.6522,86.29,54,0,8.95,CN,1659583379
365,Dhārchula,29.85,80.5333,75.38,90,100,1.95,IN,1659583380
366,Tomatlán,19.9333,-105.25,78.75,87,18,1.88,MX,1659583217
367,Palmer,42.1584,-72.3287,74.75,83,0,8.05,US,1659583380
368,Tiksi,71.6872,128.8694,43.56,79,93,2.84,RU,1659583380
369,Chipping Sodbury,51.5381,-2.3938,59.7,89,100,5.46,GB,1659583381
370,Pochutla,15.7432,-96.4661,80.82,83,28,4.07,MX,1659583381
371,Deputatsky,69.3,139.9,46.0,63,98,3.65,RU,1659583382
372,Havøysund,70.9963,24.6622,59.23,80,99,12.41,NO,1659583382
373,Mahibadhoo,3.7833,72.9667,81.61,77,100,20.89,MV,1659583383
374,Binzhou,37.3667,118.0167,93.97,56,0,5.06,CN,1659583383
375,Lagoa,39.05,-27.9833,74.01,89,22,4.12,PT,1659583384
376,Rubtsovsk,51.5,81.25,66.97,45,7,14.03,RU,1659583384
377,Rome,43.2128,-75.4557,76.87,78,0,5.75,US,1659583385
378,Baena,37.6167,-4.3225,79.66,41,0,1.54,ES,1659583385
379,Whitianga,-36.8333,175.7,60.71,69,2,2.71,NZ,1659583386
380,Bentiu,9.2333,29.8333,69.26,96,64,2.62,SS,1659583386
381,Locri,38.2414,16.2623,76.32,57,0,6.46,IT,1659583387
382,Mersing,2.4312,103.8405,80.51,89,40,5.75,MY,1659583387
383,Viking,53.1001,-111.7684,66.06,93,100,13.85,CA,1659583388
384,Gouré,13.9835,10.2704,73.02,76,15,5.46,NE,1659583388
385,Mkokotoni,-5.8767,39.2547,71.01,86,14,7.83,TZ,1659583389
386,Port Lincoln,-34.7333,135.8667,55.96,81,48,32.82,AU,1659583389
387,Verkh-Usugli,52.7,115.1667,65.03,79,100,5.61,RU,1659583390
388,Beringovskiy,63.05,179.3167,50.54,83,100,5.68,RU,1659583390
389,Tamandaré,-8.7597,-35.1047,75.42,86,100,10.96,BR,1659583288
390,Micheweni,-4.9667,39.8333,73.87,75,9,11.92,TZ,1659583391
391,Dalbandin,28.8947,64.4101,89.56,15,2,3.6,PK,1659583392
392,Altadena,34.1897,-118.1312,86.9,56,44,1.99,US,1659583392
393,Mehamn,71.0357,27.8492,58.95,77,0,8.05,NO,1659583393
394,Finschhafen,-6.6024,147.8681,84.72,66,38,11.56,PG,1659583393
395,Sørland,67.667,12.6934,57.06,89,91,20.04,NO,1659583394
396,Yuanping,38.7153,112.7575,87.4,50,1,4.41,CN,1659583394
397,Osorno,-40.5667,-73.15,43.25,100,75,4.61,CL,1659583394
398,Bandarbeyla,9.4942,50.8122,77.18,74,100,26.06,SO,1659583385
399,San Antonio,29.4241,-98.4936,90.59,60,0,24.16,US,1659583123
400,Pedernales,18.0384,-71.744,80.76,67,100,5.01,DO,1659583395
401,Esperance,-33.8667,121.9,51.64,69,96,32.17,AU,1659583396
402,Kwinana,-32.25,115.7667,58.33,83,100,5.01,AU,1659583396
403,George Town,5.4112,100.3354,83.89,81,40,11.5,MY,1659583397
404,Concepción del Uruguay,-32.4825,-58.2372,53.98,99,100,5.99,AR,1659583397
405,St-Jean-Port-Joli,47.2171,-70.2658,72.28,69,99,9.73,CA,1659583398
406,Howard Springs,-12.497,131.047,89.98,64,16,2.84,AU,1659583398
407,Idrinskoye,54.3708,92.1358,57.92,69,100,1.45,RU,1659583399
408,Hailar,49.2,119.7,76.55,74,100,12.46,CN,1659583399
409,Ati,13.2154,18.3353,80.46,68,100,4.0,TD,1659583399
410,Tateyama,34.9833,139.8667,81.1,77,99,6.31,JP,1659583400
411,Portobelo,9.55,-79.65,76.96,90,100,5.53,PA,1659583390
412,Yarovoy,52.9273,78.58,67.15,46,0,7.54,RU,1659583400
413,Puerto del Rosario,28.5004,-13.8627,71.35,88,20,19.57,ES,1659583401
414,Goma,-1.6792,29.2228,62.71,85,98,2.15,CD,1659583401
415,Norman Wells,65.282,-126.8329,62.64,67,75,5.75,CA,1659583402
416,Majene,-3.5403,118.9707,83.35,70,59,12.26,ID,1659583402
417,Flinders,-34.5833,150.8552,68.25,79,100,4.0,AU,1659583402
418,Tual,-5.6667,132.75,80.31,82,92,14.27,ID,1659583403
419,Hofn,64.2539,-15.2082,47.14,76,100,15.66,IS,1659583403
420,Wanaka,-44.7,169.15,45.03,92,82,8.79,NZ,1659583293
421,Koutiala,12.3917,-5.4642,75.36,86,100,4.92,ML,1659583404
422,Olonets,60.9847,32.9698,60.15,93,46,5.3,RU,1659583404
423,Anadyr,64.75,177.4833,61.3,63,5,11.18,RU,1659583405
424,Khani,41.9563,42.9566,63.97,84,29,2.71,GE,1659583405
425,Crotone,39.0851,17.1178,77.2,58,0,7.29,IT,1659583405
426,Marilândia,-19.4128,-40.5417,65.14,96,0,1.59,BR,1659583406
427,Palana,59.1167,159.9667,50.74,92,100,20.31,RU,1659583406
428,Muli,2.9167,73.5667,80.69,79,100,17.63,MV,1659583407
429,Iqaluit,63.7506,-68.5145,46.13,70,40,12.66,CA,1659583407
430,Saint Anthony,45.0205,-93.218,73.02,66,0,13.8,US,1659583407
431,Hasaki,35.7333,140.8333,75.6,78,100,12.24,JP,1659583408
432,Katherine,-14.4667,132.2667,89.92,40,13,4.61,AU,1659583408
433,Castro,-24.7911,-50.0119,57.92,69,7,4.21,BR,1659583408
434,Greenville,35.6127,-77.3663,82.42,75,0,4.61,US,1659582521
435,Severnyy,50.677,36.5532,62.64,100,75,4.47,RU,1659583409
436,Manthani,18.65,79.6667,82.58,82,100,5.97,IN,1659583409
437,San Vicente de Cañete,-13.0751,-76.3835,61.2,83,40,4.63,PE,1659583410
438,Mae Hong Son,19.3003,97.9685,86.14,66,40,6.91,TH,1659583410
439,Guiren,33.6697,118.1889,92.12,64,1,6.87,CN,1659583410
440,Zhangjiakou,40.81,114.8794,86.22,54,8,6.29,CN,1659583411
441,Hobyo,5.3505,48.5268,75.6,82,97,24.02,SO,1659583411
442,Forsytheganj,52.6333,29.7333,60.69,97,22,6.2,BY,1659583411
443,Kelvington,52.1667,-103.5343,59.29,64,99,7.52,CA,1659583412
444,Kindu,-2.95,25.95,71.8,83,98,2.39,CD,1659583412
445,Thinadhoo,0.5333,72.9333,81.09,75,100,14.38,MV,1659583278
446,Bilma,18.6853,12.9164,88.43,42,76,8.59,NE,1659583413
447,Mae Sot,16.7167,98.5667,83.68,89,75,5.75,TH,1659583413
448,Sovetskiy,61.3614,63.5842,67.05,56,16,5.59,RU,1659583414
449,Weyburn,49.6668,-103.8511,64.62,77,7,12.66,CA,1659583313
450,Brae,60.3964,-1.353,51.06,74,100,9.93,GB,1659583414
451,Necochea,-38.5473,-58.7368,44.47,93,10,3.51,AR,1659583415
452,Mechetinskaya,46.7713,40.456,68.7,80,44,4.97,RU,1659583415
453,Sept-Îles,50.2001,-66.3821,60.8,80,40,5.75,CA,1659583416
454,Vilyuysk,63.7553,121.6247,62.94,51,87,8.21,RU,1659583416
455,San Jose,37.3394,-121.895,83.08,58,20,10.36,US,1659583416
456,Tsiroanomandidy,-18.7667,46.0333,56.57,85,4,2.59,MG,1659583417
457,Louth,53.3666,-0.0044,60.67,82,100,6.91,GB,1659583246
458,Taoudenni,22.6783,-3.9836,89.56,37,7,15.66,ML,1659583417
459,Black Diamond,47.3087,-122.0032,67.64,67,0,5.01,US,1659583418
460,Maunabo,18.0072,-65.8993,82.71,82,48,13.91,PR,1659583418
461,Nara,34.6851,135.8049,94.96,38,96,11.39,JP,1659583418
462,Zeya,53.75,127.2667,74.7,68,89,5.12,RU,1659583419
463,Little Current,45.9793,-81.9248,68.41,93,100,15.7,CA,1659583364
464,Port Moresby,-9.4431,147.1797,89.02,58,40,11.5,PG,1659583419
465,Buala,-8.145,159.5921,84.24,70,23,8.75,SB,1659583420
466,Okmulgee,35.6234,-95.9605,91.38,47,1,11.72,US,1659583420
467,Naryan-Mar,67.6713,53.087,57.45,79,78,16.06,RU,1659583420
468,Tautira,-17.7333,-149.15,76.62,80,33,26.51,PF,1659583421
469,Road Town,18.4167,-64.6167,82.49,77,95,22.37,VG,1659583421
470,Camp Verde,34.5636,-111.8543,86.43,71,100,3.42,US,1659583421
471,Cam Ranh,11.9214,109.1591,87.76,66,75,1.14,VN,1659583422
472,Belaya Gora,68.5333,146.4167,49.95,71,100,10.13,RU,1659583422
473,Umeå,63.8284,20.2597,60.73,100,100,9.22,SE,1659583422
474,Wilmington,34.2257,-77.9447,82.9,86,0,4.61,US,1659583308
475,Padang,-0.9492,100.3543,80.65,86,96,4.61,ID,1659583384
476,Kidal,18.4411,1.4078,86.49,45,27,13.78,ML,1659583423
477,Balclutha,-46.2339,169.75,55.54,61,41,3.96,NZ,1659583423
478,San Ignacio,17.1561,-89.0714,75.34,100,20,0.0,BZ,1659583424
479,Nuuk,64.1835,-51.7216,47.88,93,100,21.92,GL,1659583424
480,Riachão do Jacuípe,-11.8069,-39.3856,66.25,86,21,5.06,BR,1659583424
481,Itaituba,-4.2761,-55.9836,76.78,70,69,1.36,BR,1659583425
482,Mananjary,-21.2167,48.3333,67.24,84,100,4.85,MG,1659583425
483,São Borja,-28.6606,-56.0044,61.95,76,100,6.26,BR,1659583425
484,Pātrasāer,23.2167,87.5167,86.77,67,100,6.78,IN,1659583426
485,Novyy Urgal,51.0736,132.5642,79.18,58,31,0.89,RU,1659583426
486,Nanaimo,49.1663,-123.936,65.48,84,100,6.91,CA,1659583147
487,Sola,-13.8833,167.55,88.47,70,75,4.61,VU,1659583426
488,Barcelos,41.5388,-8.6151,67.91,94,58,0.87,PT,1659583304
489,‘Ewa Beach,21.3156,-158.0072,84.15,58,100,13.8,US,1659583427
490,Kaputa,-8.4689,29.6619,64.85,56,0,2.55,ZM,1659583427
491,Grand Gaube,-20.0064,57.6608,68.4,64,100,16.73,MU,1659583428
492,Salinas,36.6777,-121.6555,76.98,73,0,13.8,US,1659583428
493,Ancud,-41.8697,-73.8203,41.23,72,100,6.6,CL,1659583169
494,Cordele,31.9635,-83.7824,79.32,78,40,0.0,US,1659583429
495,Byron Bay,-28.65,153.6167,76.95,67,28,16.91,AU,1659583150
496,Lagdo,9.05,13.7333,70.16,87,69,2.01,CM,1659583429
497,Half Moon Bay,37.4636,-122.4286,78.03,85,100,17.27,US,1659583429
498,Abilene,32.4487,-99.7331,95.22,30,0,11.5,US,1659583261
499,Kavaratti,10.5669,72.642,77.81,89,100,29.33,IN,1659583430
500,Normandin,48.8333,-72.5321,70.11,68,100,8.05,CA,1659583430
501,Kharp,66.8014,65.8081,67.24,53,96,3.44,RU,1659583430
502,Praia da Vitória,38.7333,-27.0667,75.45,94,20,2.1,PT,1659583431
503,General Pico,-35.6566,-63.7568,49.24,62,81,6.44,AR,1659583431
504,Saryozek,44.3583,77.9753,77.94,32,77,4.14,KZ,1659583431
505,Władysławowo,54.7909,18.4009,70.93,63,100,11.23,PL,1659583432
506,Lewisporte,49.2499,-55.0482,64.11,99,61,6.2,CA,1659583432
507,Mīnāb,27.1467,57.0801,91.24,60,15,0.87,IR,1659583432
508,Mahanoro,-19.9,48.8,67.51,81,60,4.74,MG,1659583433
509,Kabalo,-6.05,26.9167,71.64,44,0,3.71,CD,1659583433
510,Kasangulu,-4.5911,15.1708,68.94,68,29,4.21,CD,1659583433
511,Luwuk,-0.9516,122.7875,84.61,69,8,7.67,ID,1659583434
512,Baykit,61.67,96.37,50.65,84,100,4.68,RU,1659583434
513,Masumbwe,-3.6333,32.1833,66.02,51,45,5.84,TZ,1659583435
514,Ginir,7.1333,40.7,56.3,81,86,12.35,ET,1659583435
515,Chushan,33.2955,113.6528,95.77,51,0,6.38,CN,1659583435
516,Houma,29.5958,-90.7195,77.0,91,0,0.0,US,1659583436
517,Biak,-0.9131,122.8766,81.9,70,12,8.34,ID,1659583436
518,Acapulco de Juárez,16.8634,-99.8901,82.22,78,75,2.3,MX,1659583353
519,Myitkyina,25.3833,97.4,85.39,76,92,0.94,MM,1659583437
520,Ulaangom,49.9811,92.0667,66.78,61,100,5.3,MN,1659583437
521,Ugoofaaru,5.6667,73.0,80.69,82,100,21.65,MV,1659583437
522,Eydhafushi,5.1033,73.0708,81.0,81,100,21.79,MV,1659583438
523,Karakol,42.4907,78.3936,69.3,38,3,3.62,KG,1659583438
524,Martapura,-3.4167,114.85,86.09,66,40,4.61,ID,1659583438
525,Beloha,-25.1667,45.05,59.85,82,1,7.96,MG,1659583439
526,Kupang,-10.1667,123.5833,83.88,53,74,8.95,ID,1659583439
527,Marabu,4.4148,114.0089,84.34,84,40,4.61,MY,1659583439
528,Dhidhdhoo,6.8833,73.1,79.9,80,100,24.23,MV,1659583428
529,Carauari,-4.8828,-66.8958,76.42,81,75,1.48,BR,1659583440
530,Cockburn Town,21.4612,-71.1419,82.15,74,6,20.02,TC,1659583440
531,Poum,-20.2333,164.0167,75.27,83,23,6.31,NC,1659583440
532,Mokhsogollokh,61.4681,128.9203,67.44,87,100,4.85,RU,1659583441
533,Vilhena,-12.7406,-60.1458,70.77,46,0,3.91,BR,1659583441
534,Mehrān,33.1222,46.1646,100.27,14,0,6.11,IR,1659583442
535,Astoria,46.1879,-123.8313,62.71,89,100,6.91,US,1659583442
536,Kinsale,51.7075,-8.5306,52.97,87,40,10.36,IE,1659583443
537,Panjakent,39.4952,67.6093,76.24,28,0,1.19,TJ,1659583443
538,San Policarpo,12.1791,125.5072,83.79,72,100,11.21,PH,1659583443
539,Kismayo,-0.3582,42.5454,75.22,81,14,15.59,SO,1659583444
540,São Félix do Xingu,-6.6447,-51.995,72.48,50,10,1.14,BR,1659583444
541,Salalah,17.0151,54.0924,78.89,94,100,2.3,OM,1659583444
542,Niagara Falls,43.1001,-79.0663,78.1,79,0,0.0,CA,1659583434
543,Nieuw Amsterdam,5.8833,-55.0833,78.03,89,60,7.96,SR,1659583445
544,Sawākin,19.1059,37.3321,89.83,53,53,3.96,SD,1659583445
545,Auki,-8.7676,160.7034,84.81,66,13,4.38,SB,1659583445
546,Stabat,3.761,98.4513,77.2,89,100,3.24,ID,1659583446
547,Belūsovka,50.1339,82.5239,65.25,63,40,4.47,KZ,1659583446
548,Bollnäs,61.3482,16.3946,58.91,89,67,9.93,SE,1659583447
549,Inhambane,-23.865,35.3833,53.58,100,20,3.44,MZ,1659583447
550,Gonbad-e Kāvūs,37.25,55.1672,81.55,61,5,7.36,IR,1659583447
551,Maracás,-13.4411,-40.4308,56.37,83,0,5.1,BR,1659583448
552,Burns Lake,54.2331,-125.7533,51.22,86,100,3.49,CA,1659583448
553,Rincon,32.296,-81.2354,83.86,94,40,0.0,US,1659583448
554,Port Blair,11.6667,92.75,82.44,83,75,10.36,IN,1659583449
555,Perth,-31.9333,115.8333,58.17,91,75,13.8,AU,1659583205
556,San Cristobal,7.7669,-72.225,69.98,91,87,1.74,VE,1659583449
